name,age,interests,activity_log
User1,51,[np.str_('cooking 8')],['Activity 8']
User2,54,"[np.str_('cooking 8'), np.str_('photography 10'), np.str_('art 4')]","['Activity 8', 'Activity 8', 'Activity 10', 'Activity 10', 'Activity 4']"
User3,20,[np.str_('travel 11')],"['Activity 11', 'Activity 11']"
User4,28,[np.str_('art 4')],"['Activity 4', 'Activity 4']"
User5,25,[np.str_('dancing 15')],['Activity 15']
User6,36,"[np.str_('cooking 8'), np.str_('gardening 14')]","['Activity 8', 'Activity 14']"
User7,58,[np.str_('technology 1')],"['Activity 1', 'Activity 1']"
User8,48,[np.str_('photography 10')],"['Activity 10', 'Activity 10']"
User9,52,"[np.str_('photography 10'), np.str_('gardening 14'), np.str_('gaming 5')]","['Activity 10', 'Activity 10', 'Activity 14', 'Activity 14', 'Activity 5', 'Activity 5']"
User10,34,"[np.str_('writing 13'), np.str_('sports 9'), np.str_('gaming 5')]","['Activity 13', 'Activity 13', 'Activity 9', 'Activity 9', 'Activity 5']"
User11,22,[np.str_('cooking 8')],"['Activity 8', 'Activity 8']"
User12,31,[np.str_('reading 7')],['Activity 7']
User13,56,"[np.str_('cooking 8'), np.str_('writing 13')]","['Activity 8', 'Activity 13', 'Activity 13']"
User14,24,"[np.str_('writing 13'), np.str_('gardening 14')]","['Activity 13', 'Activity 14', 'Activity 14']"
User15,19,"[np.str_('cooking 8'), np.str_('music 3'), np.str_('movies 12')]","['Activity 8', 'Activity 8', 'Activity 3', 'Activity 12', 'Activity 12']"
User16,56,"[np.str_('gardening 14'), np.str_('dancing 15')]","['Activity 14', 'Activity 15', 'Activity 15']"
User17,48,[np.str_('technology 1')],"['Activity 1', 'Activity 1']"
User18,50,[np.str_('movies 12')],"['Activity 12', 'Activity 12']"
User19,19,"[np.str_('photography 10'), np.str_('travel 11')]","['Activity 10', 'Activity 10', 'Activity 11']"
User20,27,"[np.str_('music 3'), np.str_('fitness 2')]","['Activity 3', 'Activity 2', 'Activity 2']"
User21,33,"[np.str_('reading 7'), np.str_('gardening 14')]","['Activity 7', 'Activity 7', 'Activity 14', 'Activity 14']"
User22,27,"[np.str_('gaming 5'), np.str_('art 4')]","['Activity 5', 'Activity 5', 'Activity 4']"
